"participant.label","feedback","feedback_difficulty","feedback_understanding","feedback_satisfied","feedback_pay"
"66632c69d2b270f0314a0b16",NA,10,9,9,10
"667970bb47ca9598fd9fe270","there was only one typo in the after task survey where it says in the question ""if student were canceled"" instead of what was meant to be stated",10,10,10,10
"665dad37740a458b78ae5c71",NA,8,8,8,8
"677d9859b713c31eb73da3b9","none",10,10,10,10
"63a4af8f8b8722876fa88952",NA,10,10,9,10
"67059bab62b875241f1ecb11",NA,9,9,10,10
"66873c06f948d147e72b2654",NA,7,9,8,10
"5bd3454113e7dd0001f21591",NA,9,10,10,10
"5d0dca2cecd8f60017eaddb3","This was a good study.",8,9,9,10
"612fa57ac45f393b3531fcfb","The bonus structure was unclear.  Was I able to earn a bonus for predictions made before each work section or just the first predictions?",9,9,9,10
"65672f832e481d65554c0bbc","study was fun",8,9,10,10
"5d2e07cac3651500019f0b0e",NA,9,9,9,9
"63daca8ae542ff8f19d3099a",NA,10,10,9,9
"6117efedb574017076d5b499","No comments.",10,10,10,10
"5e307edef5abed05e1736185",NA,10,10,10,10
"63d2c192777fb7d26c001146",NA,10,10,10,10
"673726b38e7451a580f3c624",NA,10,10,10,10
"650b0eb2e8c0266da78521fb","A lot of effort to not reach an average payout.",8,8,3,5
"674920f31516667cc3eb79d5",NA,9,9,8,9
"5ea720a669cae10d910fba3e",NA,3,5,6,5
"6630e7a69b4d00def2eedf8a","N/A",10,10,9,9
"6603412311cbee9e33dbf46e",NA,8,8,7,8
"67ad27dea19c84fec0002b17","I thought it was great. I would love to do more studies like this in the future.",10,10,10,10
"66512fcae6ee0568b12cde76",NA,10,10,10,10
"63c047ef36e1348b19bb8010",NA,10,10,10,8
"67689554da72fe70b3d039da","This is a lovely survey",9,8,8,8
"67806e9d273c2547826d1d8b","It all made sense to me.",10,10,10,10
"6405feae7d6321bfaaf793e8","No feedback",10,10,7,9
"56802e5fc5767f00121cc6a0","Loaded fine in Chrome Browser - Cheers",10,10,9,10
"66b62d378900b27a626cf2ba",NA,10,10,8,6
"63ce4a983479277bba4987c5",NA,10,10,10,10
"661da78d934b48c623c627b0",NA,10,10,9,8
"665ca0199c9267eb724e8028","Study was fine, typing the faint text was a pain, but the expectation that most receive $16, and I received meaningfully less than that was a major bummer.",10,10,6,8
"64d50c4b3a44318d98f4f5b2",NA,10,10,6,6
"5c616465b672de0001fd3ac6","I've always found stuff involving taxes very confusing. I guess my brain has never processed that kind of information very well. Regardless, I did my best to answer the questions. Thank you.",8,9,7,8
"60675b278929f00a78c91c3f",NA,10,10,10,10
"671fd6f39d8fe673222a5324","none",10,10,10,10
"648646988a5170373da06a9e","The study was clear and easy to understand",10,10,10,10
"66d3274252d61ef65f0cc099",NA,10,9,10,10
"5d4a30c602fd73001cf470c8",NA,10,10,10,9
"675c9d0a538d1eb89a70c8fa",NA,9,10,6,7
"5f2d95153c1140074cc81b4c",NA,9,9,10,10
"67ab59d220f4efb5665c7198",NA,9,9,10,10
"5e6d8c46f93a0c35d1f82335",NA,10,10,8,10
"64135e3d9cd5e3f16290d29c","Yes, I felt comfortable with the instructions. I was not confused.",9,9,10,10
"67aa3d8099705a4e70e01e2e",NA,10,9,9,9
"66362c599c58570d437989ca","thank you for this opportunity! I'd love to do similar work in the future.",10,10,10,10
"57bd287fe028bc00010488ab",NA,7,9,7,7
"67a536701deb6e6c96611481","Just intrigued at what this study was determining. Degree of optimism and incentive to work--and how that may be changed by experience?  I kind of enjoyed the transcription part--I may be weird to actually enjoy things like that, so the actual, very small earnings, were not a great factor in my performance.",10,10,6,6
"5e29dc4721a5f20481c70274",NA,10,10,9,7
"64294cae8d5cae1b2ed48562",NA,10,10,10,10
"5dd3648c10420036f4141f18",NA,10,10,9,9
"6640bef4362e289ab16112cc","the only time i had a problem understanding the instructions was the attention check, where to click here, it was confusing.",9,9,9,10
"5ecd78784dc5af0d97078c8b",NA,10,10,9,10
"66a94c224273fab59f0b2c71",NA,10,10,10,10
"59048309c4ef1300011b1085","it would have been nice to see where we made mistakes",9,9,10,9
"636d19c8d8a6c6ef4d37ff41","I was confused on what I needed to guess for the tax rate- being told the default was 25% and it could change. I wasn't sure what to base my guess on.",5,6,7,8
"67709b0a96dcc9c2a7b0a06e","no problem at all",10,10,10,9
"673b9e76456e060aaca75d35",NA,10,10,9,9
"61350714824fe9ef61afde03",NA,10,10,9,10
"66e9bdb86f599f239c1ea24e",NA,10,10,10,7
"67accaf5ece612d8f19b39ac","Fun",9,9,9,9
"6786a28746f77e1b013cb2f1",NA,8,9,8,7
"6791752090260ac20edb1437","everything went well",9,9,9,8
"665e750c97f12272bd9ab99e",NA,9,9,9,9
"673674170c987b500401215f",NA,10,10,10,10
"675f50ab88662e8002f0ee08",NA,10,9,10,8
"6713eeea64ca1fb59cbcbce4",NA,10,10,9,8
"6792b0c31ed2afe68cdd6ace","it was ok",7,8,8,9
"679132978cc757ace902b1d1",NA,10,10,10,10
"66e8464aaca8e7ab9719a5ec",NA,8,8,8,8
"6686e72b762ad26de146f4db",NA,10,10,10,10
