"participant.label","feedback","feedback_difficulty","feedback_understanding","feedback_satisfied","feedback_pay"
"644c34bee80856c9546c7312",NA,10,10,10,10
"66df6fb9972f7e64780e9d19",NA,10,10,10,10
"6734f4622cbd088a82b7f773","it went great",10,10,10,10
"66e9b71177c3090433540727",NA,10,9,9,9
"671d5e7d96823c9a33e67f2f",NA,7,5,6,5
"5d37ad921c16bb0015281337","I find it hard to believe the ""average"" pay is 16 for this study. I felt like I was going decently fast, and did not take a break, and made less than 12.",9,10,9,8
"570d30d942a1db000fc4cf87",NA,10,10,10,7
"63d1c1095b55c7061678a96e",NA,9,9,7,3
"66a6840ee7dacc037e45681c",NA,6,7,7,7
"65298aca34ac384b783169d4","I think this study worked great and was interesting. I had no technical issues either",10,10,10,10
"66ab424884bb5aba0d3f5dde",NA,10,10,7,9
"5f1bf8c6fe7ca34249b7c334",NA,10,10,10,10
"5ff082234cfb7df5d6371e99",NA,10,10,7,6
"5f85bcb11941de066ef7d941","I experienced a lot from the study.",10,10,10,10
"657db19ca4e2e63c2eb7296f","Thank you, enjoy your day!",8,9,9,8
"6658e6846712e30718aaada6",NA,10,10,10,7
"66940bfe12c91deb6ce3030e",NA,10,10,10,9
"66546fbc8a2568aa277e84d0",NA,10,10,8,9
"6762f512bbd08dc5ac17bc9f",NA,10,10,10,10
"59014a56baa70f0001ea4c3b",NA,10,10,10,10
"64013a8e233aaa42388c821f",NA,10,10,10,10
"66b2c7262f4631f5eea8e729","I felt comfortable with the instructions. I was not confused.",8,8,8,7
"546ec14dfdf99b2bc7ebd032",NA,10,10,6,7
"63a18415816a2a0cbe438f1b","I actually thought I would make more than I ended up making. I thought I would make more than what was said to be average, instead, I am relatively sure I earned less.",8,9,4,4
