"participant.label","feedback","feedback_difficulty","feedback_understanding","feedback_satisfied","feedback_pay"
"67059bab62b875241f1ecb11",NA,9,9,10,10
"66873c06f948d147e72b2654",NA,7,9,8,10
"612fa57ac45f393b3531fcfb","The bonus structure was unclear.  Was I able to earn a bonus for predictions made before each work section or just the first predictions?",9,9,9,10
"65672f832e481d65554c0bbc","study was fun",8,9,10,10
"5d2e07cac3651500019f0b0e",NA,9,9,9,9
"67ad27dea19c84fec0002b17","I thought it was great. I would love to do more studies like this in the future.",10,10,10,10
"66512fcae6ee0568b12cde76",NA,10,10,10,10
"63c047ef36e1348b19bb8010",NA,10,10,10,8
"67806e9d273c2547826d1d8b","It all made sense to me.",10,10,10,10
"6405feae7d6321bfaaf793e8","No feedback",10,10,7,9
"661da78d934b48c623c627b0",NA,10,10,9,8
"5c616465b672de0001fd3ac6","I've always found stuff involving taxes very confusing. I guess my brain has never processed that kind of information very well. Regardless, I did my best to answer the questions. Thank you.",8,9,7,8
"671fd6f39d8fe673222a5324","none",10,10,10,10
"648646988a5170373da06a9e","The study was clear and easy to understand",10,10,10,10
"5d4a30c602fd73001cf470c8",NA,10,10,10,9
"5f2d95153c1140074cc81b4c",NA,9,9,10,10
"67ab59d220f4efb5665c7198",NA,9,9,10,10
"5e6d8c46f93a0c35d1f82335",NA,10,10,8,10
"64135e3d9cd5e3f16290d29c","Yes, I felt comfortable with the instructions. I was not confused.",9,9,10,10
"66362c599c58570d437989ca","thank you for this opportunity! I'd love to do similar work in the future.",10,10,10,10
"57bd287fe028bc00010488ab",NA,7,9,7,7
"67a536701deb6e6c96611481","Just intrigued at what this study was determining. Degree of optimism and incentive to work--and how that may be changed by experience?  I kind of enjoyed the transcription part--I may be weird to actually enjoy things like that, so the actual, very small earnings, were not a great factor in my performance.",10,10,6,6
"6640bef4362e289ab16112cc","the only time i had a problem understanding the instructions was the attention check, where to click here, it was confusing.",9,9,9,10
"5ecd78784dc5af0d97078c8b",NA,10,10,9,10
"66a94c224273fab59f0b2c71",NA,10,10,10,10
"59048309c4ef1300011b1085","it would have been nice to see where we made mistakes",9,9,10,9
"61350714824fe9ef61afde03",NA,10,10,9,10
"66e9bdb86f599f239c1ea24e",NA,10,10,10,7
"6786a28746f77e1b013cb2f1",NA,8,9,8,7
"665e750c97f12272bd9ab99e",NA,9,9,9,9
"6713eeea64ca1fb59cbcbce4",NA,10,10,9,8
"6792b0c31ed2afe68cdd6ace","it was ok",7,8,8,9
"66e8464aaca8e7ab9719a5ec",NA,8,8,8,8
